reserve_name,status,notes
Angelo Coast Range Reserve,Collecting data (2nd round),
Año Nuevo Island Reserve,Infrastructure set up,
Blue Oak Ranch Reserve,Infrastructure set up,
Bodega Marine Reserve,Collecting data (2nd round),
Box Springs Reserve,Not yet visited,
Boyd Deep Canyon Desert Research Center,Collecting data (1st round),
Burns Piñon Ridge Reserve,Collecting data (1st round),
Cahill Riparian Reserve,Collecting data (1st round),
Carpinteria Salt Marsh Reserve,Infrastructure set up,
Coal Oil Point Natural Reserve,Infrastructure set up,
Dawson Los Monos Canyon Reserve,Not yet visited,
Elliott Chaparral Reserve,Not yet visited,
Emerson Oaks Reserve,Not yet visited,
Fort Ord Natural Reserve,Infrastructure set up,
Hastings Natural History Reservation,Infrastructure set up,
James San Jacinto Mountains Reserve,Not yet visited,
Jepson Prairie Reserve,Collecting data (2nd round),
Kendall-Frost Mission Bay Marsh Reserve,Not yet visited,
Kenneth S. Norris Rancho Marino Reserve,Collecting data (1st round),
Landels-Hill Big Creek Reserve,Not yet visited,
Lassen Field Station,Not yet visited,
McLaughlin Natural Reserve,Collecting data (1st round),
Merced Vernal Pools and Grassland Reserve,Not yet visited,
Motte Rimrock Reserve,Not yet visited,
Point Reyes Field Station,Not yet visited,
Quail Ridge Reserve,Collecting data (2nd round),
Sagehen Creek Field Station,Not yet visited,
San Joaquin Marsh Reserve,Not yet visited,
Santa Cruz Island Reserve,Collecting data (1st round),
Scripps Coastal Reserve,Not yet visited,
Sedgwick Reserve,Collecting data (1st round),
Sierra Nevada Aquatic Research Laboratory,Not yet visited,
Steele/Burnand Anza-Borrego Desert Research Center,Collecting data (1st round),
Strathearn Ranch Reserve,Infrastructure set up,
Stunt Ranch Santa Monica Mountains Reserve,Infrastructure set up,
Sweeney Granite Mountains Desert Research Center,Collecting data (1st round),
Valentine Camp,Not yet visited,
White Mountain Research Center,Not yet visited,
Yosemite Field Station,Not yet visited,
Younger Lagoon Reserve,Infrastructure set up,
